3.1a,3.1b,3.1c,3.1d
0.2182,0.2727,0.3364,0.2545
0.2818,0.2591,0.3136,0.2932
0.2924,0.2788,0.3242,0.3045
0.1894,0.1999,0.2806,0.1844
0.2154,0.1984,0.2603,0.2150
0.2236,0.2138,0.2626,0.2237
0.1390,0.1248,0.1525,0.1262
