2.1a,2.1b,2.1c,2.1d
0.4409,0.4136,0.3818,0.2682
0.4318,0.4341,0.4250,0.2932
0.4273,0.4485,0.4273,0.3212
0.3589,0.3149,0.2790,0.2011
0.3571,0.3397,0.3094,0.2104
0.3592,0.3572,0.3257,0.2327
0.2603,0.2729,0.2542,0.1495
