5.1a,5.1b,5.1c,5.1d
0.2909,0.3000,0.3000,0.2591
0.3182,0.3023,0.2932,0.2682
0.3152,0.3030,0.3136,0.2879
0.2174,0.2364,0.2446,0.1881
0.2386,0.2339,0.2370,0.1942
0.2411,0.2386,0.2448,0.2110
0.1461,0.1414,0.1390,0.1331
